PROJECTNAME,COMPANY ADDR1,COMPANY ADDR2,COMAPNY ADDR3,COMPANY CITY,COMPANY STATE,COMPANY ZIP,company_zip4,COMPANY PHN,project_bar_code,nm_addr_txt_1,nm_addr_txt_2,nm_addr_txt_3,nm_addr_txt_4,nm_addr_txt_5,us_city_nm,us_st_cd,us_zip_cd_5,clm_no,mail_dt,Transactions,sec_shrt_nm,sec_tran_dtm,sec_tran_qty,sec_tran_prc_amt,sec_tran_ttl_amt
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,82,33.27,2728.14
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.32,3332
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,28,33.24,930.72
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.34,3334
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,8,33.27,266.16
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,4,33.27,133.08
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,92,33.27,3060.84
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.23,3323
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,43,33.27,1430.61
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.41,3341
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,28,33.21,929.88
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.29,3329
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.34,3334
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,57,33.27,1896.39
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.61,3361
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.37,3337
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.32,3332
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,200,33.31,6662
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.25,3325
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.25,3325
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.76,3276
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.58,3258
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.86,3286
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.8,3280
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.76,3276
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.9,3290
